  25620 Pershing Square North
  19038 W 21 St & 6 Ave
  18088 Lafayette St & E 8 St
  16858 E 17 St & Broadway
  15434 Broadway & E 14 St
  15004 W 41 St & 8 Ave
  14374 8 Ave & W 33 St
  14198 Broadway & E 22 St
  12774 W 18 St & 6 Ave
  12756 W 20 St & 11 Ave
  12696 Greenwich Ave & 8 Ave
  12468 Carmine St & 6 Ave
  12098 Cleveland Pl & Spring St
  11908 Broadway & W 24 St
  11688 W 31 St & 7 Ave
  11600 W 33 St & 7 Ave
  11590 8 Ave & W 31 St
  11544 E 47 St & Park Ave
  11506 Lafayette St & Jersey St
  11460 W 38 St & 8 Ave
  11380 Christopher St & Greenwich St
  10870 1 Ave & E 15 St
  10698 W 24 St & 7 Ave
  10592 E 32 St & Park Ave
  10308 West St & Chambers St
  10292 6 Ave & W 33 St
  10026 W 27 St & 7 Ave
   9968 Lexington Ave & E 24 St
   9892 W 22 St & 8 Ave
   9770 W 17 St & 8 Ave
   9762 E 39 St & 2 Ave
   9758 W 22 St & 10 Ave
   9716 Pershing Square South
   9708 Vesey Pl & River Terrace
   9616 1 Ave & E 30 St
   9484 W 26 St & 8 Ave
   9408 E 23 St & 1 Ave
   9278 9 Ave & W 22 St
   9190 University Pl & E 14 St
   9186 Barrow St & Hudson St
   9182 Barclay St & Church St
   9158 South End Ave & Liberty St
   9126 Broadway & W 32 St
   9112 E 7 St & Avenue A
   9110 E 16 St & 5 Ave
   9006 E 11 St & 2 Ave
   8940 E 33 St & 2 Ave
   8870 E 15 St & 3 Ave
   8834 1 Ave & E 68 St
   8730 W 25 St & 6 Ave
   8644 E 20 St & 2 Ave
   8526 W 4 St & 7 Ave S
   8472 W 44 St & 5 Ave
   8468 Greenwich St & Warren St
   8404 Broadway & W 41 St
   8376 E 10 St & Avenue A
   8346 Broadway & W 49 St
   8338 E 20 St & Park Ave
   8292 E 12 St & 3 Ave
   8288 5 Ave & E 29 St
   8244 Mercer St & Bleecker St
   8210 W 39 St & 9 Ave
   8178 MacDougal St & Prince St
   8130 Broadway & W 29 St
   8116 E 30 St & Park Ave S
   8114 E 20 St & FDR Drive
   8080 10 Ave & W 28 St
   8032 St Marks Pl & 2 Ave
   8030 E 24 St & Park Ave S
   8018 9 Ave & W 16 St
   7976 W 52 St & 5 Ave
   7972 2 Ave & E 31 St
   7952 W 43 St & 10 Ave
   7948 1 Ave & E 18 St
   7924 Broadway & W 55 St
   7850 Broadway & W 60 St
   7806 9 Ave & W 45 St
   7788 Allen St & E Houston St
   7782 W 42 St & 8 Ave
   7780 W 20 St & 7 Ave
   7758 Suffolk St & Stanton St
   7730 Centre St & Chambers St
   7594 W 13 St & 7 Ave
   7588 11 Ave & W 41 St
   7570 Great Jones St
   7558 E 2 St & Avenue B
   7536 E 11 St & 1 Ave
   7500 Washington St & Gansevoort St
   7454 E 33 St & 5 Ave
   7436 W 13 St & 6 Ave
   7406 W 15 St & 7 Ave
   7366 Forsyth St & Broome St
   7364 Broadway & W 58 St
   7358 E 3 St & 1 Ave
   7312 Central Park S & 6 Ave
   7276 W 49 St & 8 Ave
   7266 E 14 St & Avenue B
   7254 Greenwich St & N Moore St
   7232 E 25 St & 1 Ave
   7164 E 13 St & Avenue A
   7162 W 56 St & 6 Ave
   7122 E 25 St & 2 Ave
   7114 Washington Pl & Broadway
   7094 LaGuardia Pl & W 3 St
   7092 Lexington Ave & E 29 St
   7024 Bank St & Hudson St
   6974 E 4 St & 2 Ave
   6952 11 Ave & W 27 St
   6894 St Marks Pl & 1 Ave
   6870 8 Ave & W 52 St
   6838 W 51 St & 6 Ave
   6810 E 39 St & 3 Ave
   6806 E 48 St & 5 Ave
   6768 12 Ave & W 40 St
   6754 Allen St & Rivington St
   6740 W 16 St & The High Line
   6738 E 16 St & Irving Pl
   6702 E 58 St & 3 Ave
   6698 W 26 St & 10 Ave
   6670 Greenwich St & W Houston St
   6664 Canal St & Rutgers St
   6648 W 20 St & 8 Ave
   6642 E 6 St & Avenue B
   6592 W 45 St & 8 Ave
   6526 1 Ave & E 78 St
   6472 W 52 St & 9 Ave
   6454 E 31 St & 3 Ave
   6414 Penn Station Valet
   6388 Elizabeth St & Hester St
   6382 W Broadway & Spring St
   6260 Greenwich Ave & Charles St
   6220 W 47 St & 10 Ave
   6212 W 13 St & 5 Ave
   6210 Broadway & W 51 St
   6196 Mott St & Prince St
   6136 Allen St & Hester St
   6056 E 27 St & 1 Ave
